"year_range","date_range","crop_stage","threshold","Barishal","Bhola","Bogura","Chandpur","Chattogram","Cumilla","Coxs_Bazar","Dhaka","Dinajpur","Faridpur","Feni","Hatiya","Ishurdi","Jashore","Khepupara","Khulna","Kutubdia","Madaripur","MCourt","Mymensingh","Patuakhali","Rajshahi","Rangamati","Rangpur","Sandwip","Satkhira","Sitakunda","Srimangal","Sylhet","Tangail","Teknaf"
"1984-2017","Dec 16-Dec 31"," Boro Rice (Optimum) [Sowing Stage]","MAX",25.9523897058824,26.0569852941176,25.4314338235294,25.3676470588235,26.6386029411765,25.75,27.5411764705882,25.5556985294118,24.1852941176471,25.0371323529412,26.2091911764706,25.5518382352941,NA,26.0106617647059,26.3,25.7308823529412,26.5448529411765,25.6836397058824,25.3698529411765,NA,26.0847426470588,24.6746323529412,26.1345588235294,24.2231617647059,25.9145220588235,25.865625,27.1979779411765,25.6316727941176,NA,24.9049632352941,27.6490808823529
"1984-2017","Dec 16-Dec 31"," Boro Rice (Optimum) [Sowing Stage]","MIN",12.896875,13.5591911764706,12.8726102941176,14.6516544117647,15.3014705882353,12.9871323529412,16.4060661764706,14.1549632352941,11.5056985294118,13.2629044117647,13.7016544117647,15.1424632352941,NA,11.6985294117647,14.3319852941176,13.3095588235294,16.1268382352941,13.2667279411765,15.16875,NA,14.3058823529412,11.7963235294118,14.2525735294118,12.2797794117647,15.0625,12.6174632352941,12.9137867647059,10.9398897058824,NA,12.6551470588235,16.1323529411765
